ticker,total_debt,shares_outstanding,is_fully_islamic,non_permissible_revenue,total_revenue,alcohol,pork,gambling,pornography,tobacco_vaping,recreational_cannabis,impermissible_advertising,impermissible_media,deferred_gold_silver,conventional_finance,sector
FUJIY,2804275000000.0,2410404570.0,False,0.0,3195828000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
FWONA,9337000000.0,23990946.0,False,0.0,3653000000.0,False,False,False,False,False,False,False,False,False,False,Communication Services
FWONK,9337000000.0,223634694.0,False,0.0,3653000000.0,False,False,False,False,False,False,False,False,False,False,Communication Services
GBERY,4979300000.0,329623480.0,False,0.0,3085500000.0,False,False,False,False,False,False,False,False,False,False,Industrials
GDDY,14290400000.0,135141594.0,False,0.0,4573200000.0,False,False,False,False,False,False,False,False,False,False,Technology
GEHC,33780000000.0,455521592.0,False,0.0,19672000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
GEV,2404000000.0,271320459.0,False,0.0,34935000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
GFI,10022600000.0,895024247.0,False,0.0,5201600000.0,False,False,False,False,False,False,False,False,False,False,Basic Materials
GFS,,555681705.0,False,0.0,6750000000.0,False,False,False,False,False,False,False,False,False,False,Technology
GILD,96853000000.0,1240679623.0,False,0.0,28754000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
GLW,28836000000.0,857360396.0,False,0.0,13118000000.0,False,False,False,False,False,False,False,False,False,False,Technology
GNRC,5205931000.0,58684066.0,False,0.0,4295834000.0,False,False,False,False,False,False,False,False,False,False,Industrials
GOOG,61805000000.0,5407000000.0,False,0.0,350018000000.0,False,False,False,False,False,False,False,False,False,False,Communication Services
GOOGL,61805000000.0,5818000000.0,False,0.0,350018000000.0,False,False,False,False,False,False,False,False,False,False,Communication Services
GPC,19574171000.0,139110500.0,False,0.0,23486569000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
GRMN,269772000.0,192334806.0,False,0.0,6296903000.0,False,False,False,False,False,False,False,False,False,False,Technology
GSK,62047000000.0,2009000265.0,False,0.0,31376000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
GVDNY,17409000000.0,461459850.0,False,0.0,7412000000.0,False,False,False,False,False,False,False,False,False,False,Basic Materials
GWLLY,200074452633.26,855745255.0,False,0.0,199614004631.17,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
GWW,10886000000.0,47549337.0,False,0.0,17168000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
HAL,29668000000.0,841626610.0,False,0.0,22944000000.0,False,False,False,False,False,False,False,False,False,False,Energy
HALMY,2863600000.0,188850837.0,False,0.0,2248100000.0,False,False,False,False,False,False,False,False,False,False,Industrials
HD,229687000000.0,995386647.0,False,0.0,159514000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
HENKY,12841000000.0,1026020688.0,False,0.0,21586000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Defensive
HESAY,4409000000.0,1048363650.0,False,0.0,15170000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
HLN,37967000000.0,4452936617.0,False,0.0,11233000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
HLTOY,3432600000.0,807706254.0,False,0.0,3590800000.0,False,False,False,False,False,False,False,False,False,False,Communication Services
HNNMY,,7044956875.0,False,0.0,234478000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
HOCPY,111849000000.0,338371324.0,False,0.0,885815000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
HPE,61278000000.0,1319450062.0,False,0.0,30127000000.0,False,False,False,False,False,False,False,False,False,False,Technology
HPQ,37898000000.0,934701851.0,False,0.0,53559000000.0,False,False,False,False,False,False,False,False,False,False,Technology
HSHCY,112367752878.44,1563625274.0,False,0.0,285981225203.93,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
HSIC,10690000000.0,117724807.0,False,0.0,12673000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
HSY,20221060000.0,148171608.0,False,0.0,11202263000.0,False,False,False,False,False,False,False,False,False,False,Consumer Defensive
HTHIY,3958222000000.0,4531189651.0,False,0.0,9783370000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
HTHT,,307668117.0,False,0.0,23891000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
HUBB,6246300000.0,53144752.0,False,0.0,5628500000.0,False,False,False,False,False,False,False,False,False,False,Industrials
HXGBY,14402800000.0,2574127888.0,False,0.0,5401100000.0,False,False,False,False,False,False,False,False,False,False,Technology
ICLR,13519591000.0,76359932.0,False,0.0,8281676000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
IDEXY,11825000000.0,12465467072.0,False,0.0,38632000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
IDXX,3420776000.0,79851330.0,False,0.0,3897504000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
IEX,7272200000.0,74849436.0,False,0.0,3268800000.0,False,False,False,False,False,False,False,False,False,False,Industrials
IFF,36671000000.0,256096379.0,False,0.0,11484000000.0,False,False,False,False,False,False,False,False,False,False,Basic Materials
IFNNY,18152000000.0,1299391231.0,False,0.0,14955000000.0,False,False,False,False,False,False,False,False,False,False,Technology
IKTSY,3627400000.0,153996854.0,False,0.0,3393200000.0,False,False,False,False,False,False,False,False,False,False,Industrials
ILMN,8095000000.0,152800000.0,False,0.0,4372000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
IMO,14263000000.0,496861000.0,False,0.0,48824000000.0,False,False,False,False,False,False,False,False,False,False,Energy
IMPUY,10696000000.0,896994543.0,False,0.0,85459000000.0,False,False,False,False,False,False,False,False,False,False,Basic Materials
INCY,87088000.0,196322703.0,False,0.0,4241217000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
INFY,1924000000.0,4145309946.0,False,0.0,19277000000.0,False,False,False,False,False,False,False,False,False,False,Technology
INTC,191795000000.0,4770000000.0,False,0.0,53101000000.0,False,False,False,False,False,False,False,False,False,False,Technology
IP,21658000000.0,528038317.0,False,0.0,18619000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
IR,17601400000.0,395110395.0,False,0.0,7235000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
ISRG,,354496073.0,False,0.0,8352100000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
IT,,72077145.0,False,0.0,6267411000.0,False,False,False,False,False,False,False,False,False,False,Technology
ITW,30934000000.0,290100000.0,False,0.0,15898000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
J,8808249000.0,119536469.0,False,0.0,11500941000.0,False,False,False,False,False,False,False,False,False,False,Industrials
JBHT,5863825000.0,95218346.0,False,0.0,12087204000.0,False,False,False,False,False,False,False,False,False,False,Industrials
JBL,10569000000.0,106837337.0,False,0.0,29802000000.0,False,False,False,False,False,False,False,False,False,False,Technology
JCI,37366000000.0,654385440.0,False,0.0,22952000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
JD,243592000000.0,1418000000.0,False,0.0,1158819000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
JHX,4086300000.0,579252286.0,False,0.0,3877500000.0,False,False,False,False,False,False,False,False,False,False,Basic Materials
JNJ,122431000000.0,2409295102.0,False,0.0,88821000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
K,23476000000.0,347932629.0,False,0.0,12749000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Defensive
KAOOY,621715000000.0,2269821845.0,False,0.0,1628448000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Defensive
KDP,65146000000.0,1358583125.0,False,0.0,15351000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Defensive
KGSPY,9781000000.0,180857973.0,False,0.0,8608000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
KHNGY,4909000000.0,593653600.0,False,0.0,24802000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
KLAC,,131392338.0,False,0.0,12156162000.0,False,False,False,False,False,False,False,False,False,False,Technology
KMB,29013000000.0,331858421.0,False,0.0,20058000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Defensive
KNYJY,2076600000.0,883299820.0,False,0.0,11098400000.0,False,False,False,False,False,False,False,False,False,False,Industrials
KOF,274433000000.0,210083226.0,False,0.0,279793000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Defensive
KRYAY,12295200000.0,161690323.0,False,0.0,6929100000.0,False,False,False,False,False,False,False,False,False,False,Consumer Defensive
KVUE,33356000000.0,1915802170.0,False,0.0,15455000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Defensive
KYOCY,931727000000.0,1369522520.0,False,0.0,2014454000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
LEN,,223803530.0,False,0.0,35441452000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
LGRDY,17631800000.0,1310822535.0,False,0.0,8648900000.0,False,False,False,False,False,False,False,False,False,False,Industrials
LH,25689900000.0,82900000.0,False,0.0,13008900000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
LII,4748500000.0,35072782.0,False,0.0,5341300000.0,False,False,False,False,False,False,False,False,False,False,Industrials
LIN,83614000000.0,466948930.0,False,0.0,33005000000.0,False,False,False,False,False,False,False,False,False,False,Basic Materials
LLY,131308400000.0,895018757.0,False,0.0,45042700000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
LNNGY,3872274000.0,103000858.0,False,0.0,28675643000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
LOW,148569000000.0,560824905.0,False,0.0,83674000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
LRCX,,1256030000.0,False,0.0,18435591000.0,False,False,False,False,False,False,False,False,False,False,Technology
