Symbol,Description,% Portfolio Weight,Shares Held,Market Value,,
EPOBY,Epiroc AB ADR (Representing Class A Shar...,0.08%,3100,64200,,
BDNNY,Boliden AB ADR,0.08%,706,61600,,
DFKCY,Daifuku Co Ltd ADR,0.08%,3800,61700,,
CMSQY,Computershare Ltd ADR,0.08%,2700,63900,,
--,Wuxi AppTec Co Ltd,0.08%,4800,65000,,
ALFVY,Alfa Laval AB ADR,0.08%,1400,67100,,
--,Taisei Corp,0.08%,812,61600,,
--,Taiwan Mobile Co Ltd,0.08%,19600,69800,,
--,Samsung C&T Corp,0.08%,432,64700,,
--,Almarai Co,0.08%,5400,69700,,
--,Aspeed Technology Inc,0.08%,329,61800,,
--,Bank Albilad,0.08%,8200,62700,,
--,Bim Birlesik Magazalar AS,0.08%,4900,64300,,
--,BYD Co Ltd Class A,0.08%,4800,65800,,
--,E Ink Holdings Inc,0.08%,10500,69300,,
--,ELM Co,0.08%,293,63400,,
--,LG Energy Solution Ltd,0.08%,202,65600,,
--,Olympus Corp,0.08%,5800,69300,,
--,Origin Energy Ltd,0.08%,8400,64800,,
--,Midea Group Co Ltd Class A,0.08%,6200,66500,,
--,PT Amman Mineral Internasional Tbk,0.08%,154900,65200,,
--,Press Metal Aluminium Holdings Bhd,0.08%,41600,62800,,
--,IHH Healthcare Bhd,0.08%,34700,68200,,
--,Jentech Precision Industrial Co Ltd,0.08%,970,68700,,
--,Kingdee International Software Group Co ...,0.08%,31900,62200,,
--,HD Hyundai Electric,0.08%,104,62900,,
--,HD Korea Shipbuilding & Offshore Enginee...,0.08%,220,63600,,
--,Hygon Information Technology Co Ltd Clas...,0.08%,1900,65200,,
--,Hyundai Mobis Co Ltd,0.08%,303,61600,,
--,Fuyao Glass Industry Group Co Ltd Shs -H...,0.08%,6800,62500,,
--,Formosa Plastics Corp,0.08%,53600,64700,,
--,Fortune Electric Co Ltd,0.08%,2500,62100,,
ICLR,Icon PLC,0.08%,398,63700,,
--,Tourmaline Oil Corp,0.08%,1600,68300,,
SOTGY,Sunny Optical Technology (Group) Co Ltd ...,0.08%,752,67700,,
SAUHY,Straumann Holding AG ADR,0.08%,5600,67800,,
FUJHY,Subaru Corp ADR,0.08%,5900,62500,,
MMYT,MakeMyTrip Ltd,0.08%,792,62200,,
SONVY,Sonova Holding AG ADR,0.08%,1200,65700,,
SGIOY,Shionogi & Co Ltd ADR,0.08%,8000,67700,,
KGSPY,Kingspan Group PLC ADR,0.07%,777,57500,,
LNNGY,Li Ning Co Ltd ADR,0.07%,1000,56700,,
STN,Stantec Inc,0.07%,535,58000,,
--,Far EasTone Telecommunications Co Ltd,0.07%,19800,59900,,
--,Fisher & Paykel Healthcare Corp Ltd,0.07%,2800,59700,,
--,Gigabyte Technology Co Ltd,0.07%,6000,54100,,
--,Global Unichip Corp,0.07%,969,54300,,
--,Gold Circuit Electronics Ltd,0.07%,3800,58800,,
--,PT Chandra Asri Pacific Tbk,0.07%,145900,61600,,
--,Midea Group Co Ltd Ordinary Shares - Cla...,0.07%,5000,55600,,
--,Northam Platinum Holdings Ltd,0.07%,3900,59500,,
--,Metso Corp,0.07%,3500,56700,,
--,Ebara Corp,0.07%,2100,59700,,
--,DEPOSITS WITH BROKER FOR SHORT POSITIONS,0.07%,#VALUE!,55200,,
--,Contemporary Amperex Technology Co Ltd O...,0.07%,752,53600,,
--,Antofagasta PLC,0.07%,1600,58400,,
--,Arca Continental SAB de CV Class B Ordin...,0.07%,5500,53900,,
--,Aselsan Elektronik Sanayi Ve Ticaret AS,0.07%,13300,59200,,
--,Airports Of Thailand PLC,0.07%,48100,59800,,
--,Advantech Co Ltd,0.07%,5600,56700,,
--,Raia Drogasil SA,0.07%,14300,55900,,
--,Ryohin Keikaku Co Ltd,0.07%,2800,58900,,
--,SITC International Holdings Co Ltd,0.07%,14500,57900,,
--,SD Guthrie Bhd,0.07%,41900,53600,,
--,Sigma Healthcare Ltd,0.07%,28700,57900,,
--,Atkinsrealis Group Inc,0.07%,816,54300,,
--,Tripod Technology Corp,0.07%,5100,55800,,
CLCGY,Clicks Group Ltd ADR,0.07%,1300,54700,,
CHEOY,Cochlear Ltd ADR,0.07%,650,59900,,
CLPBY,Coloplast AS ADR,0.07%,6200,59700,,
ASR,Grupo Aeroportuario del Sureste SAB de C...,0.07%,186,57300,,
GWLLY,Great Wall Motor Co Ltd ADR,0.06%,2600,53100,,
KOF,Coca-Cola Femsa SAB de CV ADR,0.06%,580,51300,,
ATDRY,Auto Trader Group PLC ADR,0.06%,17800,45900,,
BDRFY,Beiersdorf AG ADR,0.06%,2400,52300,,
--,Tupras-Turkiye Petrol Rafineleri AS,0.06%,10200,47800,,
--,United Integrated Services Co Ltd,0.06%,1900,50200,,
ASBFY,Associated British Foods PLC ADR,0.06%,1500,45900,,
--,ARC Resources Ltd,0.06%,2800,52200,,
--,Skanska AB Class B,0.06%,1800,45800,,
--,Totvs SA,0.06%,5600,48200,,
--,Telekom Malaysia Bhd,0.06%,27400,47700,,
--,Roche Holding AG Bearer Shares,0.06%,135,46400,,
--,Airtac International Group,0.06%,1600,51300,,
--,Alibaba Health Information Technology Lt...,0.06%,65200,48000,,
--,Diploma PLC,0.06%,662,46500,,
--,eMemory Technology Inc,0.06%,721,50100,,
--,Lotes Co Ltd,0.06%,1000,45700,,
--,OBIC Co Ltd,0.06%,1600,49400,,
--,PTT Exploration & Production PCL,0.06%,15600,51000,,
--,Petronas Gas Bhd,0.06%,10900,48000,,
--,Hyundai Rotem Co,0.06%,348,51000,,
--,Fuji Electric Co Ltd,0.06%,748,52800,,
--,Jiangsu Hengrui Pharmaceuticals Co Ltd C...,0.06%,5600,48700,,
JHX,James Hardie Industries PLC,0.06%,2900,50000,,
VIPS,Vipshop Holdings Ltd ADR,0.06%,2500,46500,,
KHNGY,Kuehne & Nagel International AG ADR,0.06%,1300,49700,,
IKTSY,Intertek Group PLC ADR,0.06%,791,53000,,
MHGVY,Mowi ASA ADR,0.06%,2200,48900,,
NHYDY,Norsk Hydro ASA ADR,0.05%,6600,44500,,
NTOIY,Neste OYJ ADR,0.05%,4400,44500,,
ORKLY,Orkla ASA ADR,0.05%,3800,37800,,
MKTAY,Makita Corp ADR,0.05%,1400,39900,,
SMNNY,Shimano Inc ADR,0.05%,4100,41500,,
SOUHY,South32 Ltd ADR,0.05%,4500,44600,,
SKFRY,SKF AB ADR,0.05%,1700,44500,,
PSO,Pearson PLC ADR,0.05%,3300,43100,,
UNICY,Unicharm Corp ADR,0.05%,12800,41000,,
--,Toromont Industries Ltd,0.05%,387,44300,,
--,Jumbo SA,0.05%,1200,39400,,
--,Kawasaki Kisen Kaisha Ltd,0.05%,3200,43900,,
--,Laopu Gold Co Ltd Ordinary Shares - Clas...,0.05%,515,41600,,
--,Grupo Aeroportuario del Centro Norte SAB...,0.05%,3000,39400,,
--,Innolux Corp,0.05%,89700,40400,,
--,Pro Medicus Ltd,0.05%,273,44900,,
--,Lifco AB Class B,0.05%,1100,41000,,
--,Meitu Inc Registered Shs Unitary 144A/Re...,0.05%,34300,38900,,
--,Eisai Co Ltd,0.05%,1400,40300,,
--,EXOR NV,0.05%,457,39100,,
--,BYD Electronic (International) Co Ltd,0.05%,8600,39400,,
--,CAR Group Ltd,0.05%,1800,40300,,
--,China Shenhua Energy Co Ltd Class A,0.05%,7100,44100,,
--,Addtech AB Class B,0.05%,1200,39600,,
--,ADNOC Drilling Company PJSC,0.05%,28700,43300,,
--,Samsung Electro-Mechanics Co Ltd,0.05%,279,44700,,
--,Sanrio Co Ltd,0.05%,1000,44000,,
--,Screen Holdings Co Ltd,0.05%,456,37400,,
AHCHY,Anhui Conch Cement Co Ltd ADR,0.05%,2700,38800,,
--,WiseTech Global Ltd,0.05%,896,39400,,
--,Zhejiang Leapmotor Technology Co Ltd Cla...,0.05%,5000,37400,,
DNPLY,Dai Nippon Printing Co Ltd ADR,0.05%,4400,37100,,
HLTOY,Hellenic Telecommunication Organization ...,0.05%,3900,37100,,
HENKY,Henkel AG & Co KGaA ADR,0.05%,2000,38000,,
HNNMY,Hennes & Mauritz AB ADR,0.05%,12000,44800,,
--,The Descartes Systems Group Inc,0.04%,401,33600,,
FSV,FirstService Corp Ordinary Shares,0.04%,203,31200,,
DIFTY,Daito Trust Construction Co Ltd ADR,0.04%,6200,28900,,
--,Shimadzu Corp,0.04%,1400,36100,,
--,Vanguard International Semiconductor Cor...,0.04%,11700,35700,,
--,Want Want China Holdings Ltd,0.04%,51700,33800,,
--,Sekisui Chemical Co Ltd,0.04%,2000,33500,,
--,BlueScope Steel Ltd,0.04%,2200,31400,,
--,Bangkok Dusit Medical Services PCL,0.04%,53500,30700,,
--,CelcomDigi Bhd,0.04%,38200,33700,,
--,Eclat Textile Co Ltd,0.04%,2700,34900,,
--,Mr Price Group Ltd,0.04%,2900,34800,,
--,NIBE Industrier AB Class B,0.04%,7700,29400,,
--,MatsukiyoCocokara & Co,0.04%,1900,34600,,
--,Orion Oyj Class B,0.04%,536,35600,,
--,Inpost SA Ordinary Shares,0.04%,2900,35300,,
--,Indutrade AB,0.04%,1200,31200,,
TMICY,Trend Micro Inc ADR,0.04%,629,31800,,
TS,Tenaris SA ADR,0.04%,824,33500,,
TFII,TFI International Inc,0.04%,343,29300,,
SSDOY,Shiseido Co Ltd ADR,0.04%,2000,32700,,
--,Ivanhoe Mines Ltd Class A,0.04%,3400,31100,,
NCLTY,Nitori Holdings Co Ltd ADR,0.04%,4300,34500,,
SSMXY,Sysmex Corp ADR,0.03%,2400,25000,,
--,Giant Biogene Holding Co Ltd Ordinary Sh...,0.03%,5400,26500,,
--,Micro-Star International Co Ltd,0.03%,8100,27700,,
--,Shenzhen Mindray Bio-Medical Electronics...,0.03%,965,28000,,
--,Silergy Corp,0.03%,3800,26800,,
--,Svenska Cellulosa AB Class B,0.03%,2100,27300,,
--,Xiaomi Corp Class B,0.00%,4,$22.00 ,,
--,EURO,0.00%,2600,3000,,
